"Timestamp","¿Cuál es su tu de edad?"," ¿Con qué frecuencia utiliza aplicaciones móviles en su día a día?","¿Cómo guarda actualmente su información médica (informes, recetas, resultados de analíticas, etc.)?","¿Ha tenido alguna vez dificultades para encontrar o acceder a su información médica cuando la necesitaba (por ejemplo, en una consulta, urgencia o viaje)?","¿Qué tipo de información médica le resultaría más importante tener siempre accesible desde su móvil? (Seleccione todas las que apliquen)","¿Ha necesitado alguna vez compartir su información médica con un profesional sanitario fuera de su centro habitual (por ejemplo, en urgencias, en otro hospital o durante un viaje)?","En caso afirmativo, ¿cómo lo hizo y qué dificultades encontró?","¿Se sentiría cómodo/a compartiendo su información médica esencial mediante un código QR o un enlace temporal protegido con contraseña?","¿Qué nivel de importancia le da a que sus datos médicos estén cifrados y solo usted decida quién puede verlos?","¿Confiaría en una aplicación móvil para almacenar su información médica si cumple con la normativa de protección de datos (GPDR)?","¿Le resultaría útil que la aplicación pudiera escanear un informe médico en papel y extraer automáticamente la información relevante (diagnósticos, fechas, medicación)?","¿Qué importancia tiene para usted poder acceder a la aplicación mediante huella dactilar o reconocimiento facial en lugar de una contraseña?","Si pudiera tener toda su información médica en una sola aplicación en el móvil, ¿con qué frecuencia cree que la usaría?","¿Hay alguna funcionalidad o necesidad relacionada con la gestión de su salud que no se haya mencionado y que considere importante?"
"2026/03/07 9:40:45 PM GMT+1","30-44","Varias veces al día","En alguna aplicación o servicio digital","Sí, alguna vez","Contactos de emergencia;Informes médicos y diagnósticos","Sí","Suelo mostrar PDFs o fotos desde el movil. A veces no encuentro rapido el documento exacto cuando tengo poco tiempo.","Depende de qué información se comparta","Muy importante","Sí, con ciertas garantías","Muy útil","Muy importante, lo prefiero","Semanalmente","Me gustaria recordatorios de medicacion y citas, y exportar un resumen medico en PDF."
"2026/03/07 9:40:49 PM GMT+1","45-59","Una vez al día","En papel (carpetas, archivadores)","Sí, con frecuencia","Alergias e intolerancias;Medicación activa;Grupo sanguíneo","Sí","Lo comparto con informes impresos o fotos. En urgencias he tenido problemas por no llevar todo actualizado.","Sí, me parece una buena idea","Muy importante","Sí, totalmente","Muy útil","Me es indiferente","Solo cuando tenga una cita médica","Seria util recibir alertas de vencimiento de recetas y tener historial cronologico claro."
"2026/03/07 9:40:52 PM GMT+1","18-29","Varias veces a la semana","Fotos en el móvil","No, nunca","Contactos de emergencia;Resultados de analíticas y pruebas;Vacunas","No","","No, me preocupa la seguridad","Importante","Tendría dudas","Útil","Prefiero usar contraseña","Solo en emergencias","Me ayudaria tener control de permisos por tiempo y registro de quien accedio a mis datos."
"2026/03/07 9:42:08 PM GMT+1","30-44","Varias veces al día","En alguna aplicación o servicio digital","Sí, alguna vez","Contactos de emergencia;Informes médicos y diagnósticos","Sí","Suelo mostrar PDFs o fotos desde el movil. A veces no encuentro rapido el documento exacto cuando tengo poco tiempo.","Depende de qué información se comparta","Muy importante","Sí, con ciertas garantías","Muy útil","Muy importante, lo prefiero","Semanalmente","Me gustaria recordatorios de medicacion y citas, y exportar un resumen medico en PDF."
"2026/03/07 9:42:11 PM GMT+1","45-59","Una vez al día","En papel (carpetas, archivadores)","Sí, con frecuencia","Alergias e intolerancias;Medicación activa;Grupo sanguíneo","Sí","Lo comparto con informes impresos o fotos. En urgencias he tenido problemas por no llevar todo actualizado.","Sí, me parece una buena idea","Muy importante","Sí, totalmente","Muy útil","Me es indiferente","Solo cuando tenga una cita médica","Seria util recibir alertas de vencimiento de recetas y tener historial cronologico claro."
"2026/03/07 9:42:14 PM GMT+1","18-29","Varias veces a la semana","Fotos en el móvil","No, nunca","Contactos de emergencia;Resultados de analíticas y pruebas;Vacunas","No","","No, me preocupa la seguridad","Importante","Tendría dudas","Útil","Prefiero usar contraseña","Solo en emergencias","Me ayudaria tener control de permisos por tiempo y registro de quien accedio a mis datos."
"2026/03/07 9:44:47 PM GMT+1","30-44","Varias veces al día","No la guardo de forma organizada","Sí, alguna vez","Alergias e intolerancias;Medicación activa;Enfermedades crónicas;Grupo sanguíneo;Contactos de emergencia;Directivas anticipadas (voluntades vitales, donación de órganos)","Sí","En papel ","Sí, me parece una buena idea","Muy importante","Sí, totalmente","Muy útil","Muy importante, lo prefiero","Solo cuando tenga una cita médica",""
"2026/03/07 9:48:58 PM GMT+1","60-70","Raramente","No la guardo de forma organizada","Sí, con frecuencia","Medicación activa;Enfermedades crónicas;Contactos de emergencia","Sí","Cuando he tenido que compartirla, he recurrido a mensajes y documentos sueltos. La dificultad es no tener todo centralizado y actualizado.","Sí, me parece una buena idea","Muy importante","Sí, con ciertas garantías","Muy útil","No uso autenticación biométrica","Solo cuando tenga una cita médica","Necesitaria un resumen claro por patologias y medicacion actual para mostrarlo en consulta rapidamente."
"2026/03/07 9:49:16 PM GMT+1","45-59","Nunca","En papel (carpetas, archivadores)","Sí, alguna vez","Alergias e intolerancias;Grupo sanguíneo;Informes médicos y diagnósticos","No","","Depende de qué información se comparta","Muy importante","Tendría dudas","No lo necesitaría","Prefiero usar contraseña","Solo en emergencias","Seria importante incluir modo de letra grande y ayuda para familiares autorizados."
"2026/03/07 9:53:45 PM GMT+1","30-44","Varias veces al día","En alguna aplicación o servicio digital","No, nunca","Alergias e intolerancias;Medicación activa;Enfermedades crónicas;Grupo sanguíneo;Contactos de emergencia;Resultados de analíticas y pruebas;Informes médicos y diagnósticos;Vacunas","No","","Depende de qué información se comparta","Muy importante","Tendría dudas","Muy útil","Muy importante, lo prefiero","Solo cuando tenga una cita médica",""
"2026/03/07 10:00:33 PM GMT+1","30-44","Varias veces al día","En alguna aplicación o servicio digital","Sí, con frecuencia","Alergias e intolerancias;Medicación activa;Enfermedades crónicas;Informes médicos y diagnósticos;Vacunas","Sí","Informes impresos","No, me preocupa la seguridad","Muy importante","Tendría dudas","Muy útil","Muy importante, lo prefiero","Solo cuando tenga una cita médica",""
"2026/03/08 7:38:16 AM GMT+1","45-59","Varias veces al día","En papel (carpetas, archivadores)","Sí, alguna vez","Resultados de analíticas y pruebas;Informes médicos y diagnósticos","Sí","Verbalmente ","Sí, me parece una buena idea","Importante","Sí, totalmente","Muy útil","Me es indiferente","Solo cuando tenga una cita médica","No"